subjid,group,ref_food,alt_food,choice_rating
sub-FCT001,HC,bagel and cc.jpg,Whole milk.jpg,2
sub-FCT001,HC,bagel and cc.jpg,strawberries.jpg,4
sub-FCT001,HC,bagel and cc.jpg,air popcorn.jpg,2
sub-FCT001,HC,bagel and cc.jpg,cupcakes am.jpg,2
sub-FCT001,HC,bagel and cc.jpg,cherry tomato.jpg,2
sub-FCT001,HC,bagel and cc.jpg,broccoli cauliflower.jpg,2
sub-FCT001,HC,bagel and cc.jpg,raisin bran w milk.jpg,2
sub-FCT001,HC,bagel and cc.jpg,avacado.jpg,5
sub-FCT001,HC,bagel and cc.jpg,mac & cheese.jpg,2
sub-FCT001,HC,bagel and cc.jpg,ritz.jpg,2
sub-FCT001,HC,bagel and cc.jpg,american cheese.jpg,2
sub-FCT001,HC,bagel and cc.jpg,celery and carrot sticks.jpg,4
sub-FCT001,HC,bagel and cc.jpg,Hershey Kisses.jpg,2
sub-FCT001,HC,bagel and cc.jpg,banana.jpg,4
sub-FCT001,HC,bagel and cc.jpg,ice cream sundae 002.jpg,2
sub-FCT001,HC,bagel and cc.jpg,bagel plain.jpg,2
sub-FCT001,HC,bagel and cc.jpg,corn cob.jpg,4
sub-FCT001,HC,bagel and cc.jpg,hotdog w must.jpg,2
sub-FCT001,HC,bagel and cc.jpg,froot loops w milk.jpg,2
sub-FCT001,HC,bagel and cc.jpg,french fries.jpg,2
sub-FCT001,HC,bagel and cc.jpg,grilled chicken strips.jpg,4
sub-FCT001,HC,bagel and cc.jpg,rigatoni.jpg,2
sub-FCT001,HC,bagel and cc.jpg,salad w chicken.jpg,5
sub-FCT001,HC,bagel and cc.jpg,doughnuts.jpg,4
sub-FCT001,HC,bagel and cc.jpg,Pretzels.jpg,1
sub-FCT001,HC,bagel and cc.jpg,mashed potato.jpg,4
sub-FCT001,HC,bagel and cc.jpg,apple slices.jpg,4
sub-FCT001,HC,bagel and cc.jpg,chicken nuggets2.jpg,2
sub-FCT001,HC,bagel and cc.jpg,Grapes.jpg,4
sub-FCT001,HC,bagel and cc.jpg,yogurt pretzels.jpg,5
sub-FCT001,HC,bagel and cc.jpg,eggs.jpg,2
sub-FCT001,HC,bagel and cc.jpg,Cheese nachos.jpg,4
sub-FCT001,HC,bagel and cc.jpg,raisins.jpg,2
sub-FCT001,HC,bagel and cc.jpg,mini muffins.jpg,4
sub-FCT001,HC,bagel and cc.jpg,lollipops.jpg,1
sub-FCT001,HC,bagel and cc.jpg,cucumber slices.jpg,4
sub-FCT001,HC,bagel and cc.jpg,fried eggs.jpg,2
sub-FCT001,HC,bagel and cc.jpg,seaweed.jpg,4
sub-FCT001,HC,bagel and cc.jpg,reeses.jpg,5
sub-FCT001,HC,bagel and cc.jpg,pizza.jpg,4
sub-FCT001,HC,bagel and cc.jpg,brownie.jpg,5
sub-FCT001,HC,bagel and cc.jpg,trail mix.jpg,4
sub-FCT001,HC,bagel and cc.jpg,rigatoni and sauce.jpg,1
sub-FCT001,HC,bagel and cc.jpg,saltines.jpg,1
sub-FCT001,HC,bagel and cc.jpg,cookies.jpg,4
sub-FCT001,HC,bagel and cc.jpg,steak.jpg,5
sub-FCT001,HC,bagel and cc.jpg,yogurt no spoon.jpg,4
sub-FCT001,HC,bagel and cc.jpg,turkey sandwich.jpg,2
sub-FCT001,HC,bagel and cc.jpg,soy chips.jpg,2
