subjid,group,food,taste_rating,health_rating
sub-FCT001,HC,orange slices.jpg,5.0,5.0
sub-FCT001,HC,Grapes.jpg,4.0,5.0
sub-FCT001,HC,baguette oil.jpg,3.0,5.0
sub-FCT001,HC,doughnuts.jpg,5.0,1.0
sub-FCT001,HC,burger.jpg,3.0,3.0
sub-FCT001,HC,mac & cheese.jpg,5.0,2.0
sub-FCT001,HC,cucumber slices.jpg,4.0,5.0
sub-FCT001,HC,turkey sandwich.jpg,3.0,5.0
sub-FCT001,HC,mushrooms.jpg,3.0,5.0
sub-FCT001,HC,raisins.jpg,2.0,5.0
sub-FCT001,HC,froot loops w milk.jpg,5.0,2.0
sub-FCT001,HC,grilled chicken strips.jpg,5.0,5.0
sub-FCT001,HC,kiwi.jpg,5.0,5.0
sub-FCT001,HC,PB.jpg,4.0,4.0
sub-FCT001,HC,sour patch.jpg,2.0,1.0
sub-FCT001,HC,Whole milk.jpg,4.0,5.0
sub-FCT001,HC,broccoli cauliflower.jpg,3.0,5.0
sub-FCT001,HC,baked potato.jpg,1.0,5.0
sub-FCT001,HC,green beans.jpg,4.0,5.0
sub-FCT001,HC,string cheese.jpg,3.0,3.0
sub-FCT001,HC,corn cob.jpg,5.0,5.0
sub-FCT001,HC,baby cheese.jpg,2.0,4.0
sub-FCT001,HC,american cheese.jpg,3.0,2.0
sub-FCT001,HC,soup with spoon.jpg,3.0,5.0
sub-FCT001,HC,sushi w_condiments.jpg,3.0,4.0
sub-FCT001,HC,mini muffins.jpg,5.0,2.0
sub-FCT001,HC,seaweed.jpg,5.0,5.0
sub-FCT001,HC,mozarella sticks.jpg,5.0,2.0
sub-FCT001,HC,cookies.jpg,5.0,1.0
sub-FCT001,HC,steak.jpg,5.0,5.0
sub-FCT001,HC,granola w milk.jpg,3.0,5.0
sub-FCT001,HC,soy chips.jpg,3.0,5.0
sub-FCT001,HC,1%milk.jpg,4.0,5.0
sub-FCT001,HC,rice cakes.jpg,2.0,5.0
sub-FCT001,HC,yogurt pretzels.jpg,5.0,4.0
sub-FCT001,HC,Cheese nachos.jpg,5.0,1.0
sub-FCT001,HC,chicken nuggets2.jpg,4.0,2.0
sub-FCT001,HC,cherry tomato.jpg,4.0,5.0
sub-FCT001,HC,Pretzels.jpg,2.0,5.0
sub-FCT001,HC,grilled cheese.jpg,5.0,2.0
sub-FCT001,HC,Hershey Kisses.jpg,4.0,1.0
sub-FCT001,HC,Tribe humus pita.jpg,4.0,5.0
sub-FCT001,HC,rigatoni.jpg,2.0,5.0
sub-FCT001,HC,m_and_m.jpg,5.0,1.0
